notice_id,evidence_type,description,present,date,notes
N-1001,notice_copy,Full CP2000 notice,yes,2026-05-25,
N-1001,response_form,Signed CP2000 response form,no,,
N-1001,income_document,1099-B summary,yes,2026-02-10,
N-1001,cost_basis_support,Form 8949 cost basis worksheet,no,,
N-1001,delivery_proof,Upload/fax/mail proof,no,,
N-1002,notice_copy,CP53E letter,yes,2026-05-24,
N-1002,official_account_status,Direct IRS account notification,no,,
N-1002,bank_owner_check,Taxpayer-owned or joint account verified,no,,
N-1003,notice_copy,CP14 balance due notice,yes,2026-06-03,
N-1003,payment_proof,Direct Pay confirmation or bank debit,no,,
N-1003,account_status,IRS account transcript or payment history,no,,
N-1004,notice_copy,CP3219A notice,yes,2026-03-20,
N-1004,prior_response_proof,Certified mail or fax proof,no,,
N-1004,professional_review,Tax professional or LITC review,no,,
